name,category,meal_types,storage_days,flavor_profile,ingredients,instructions
麻婆豆腐,主菜,"lunch,dinner",1,中華,48:50:炒める|39:200:煮る|30:10:炒める|139:12.0:生|150:6.0:生|143:15.0:生|134:6.0:生|149:6.0:生|136:3.0:生|144:4.0:生,ひき肉を炒めて豆板醤で味付けし、豆腐を加えて煮込む
酢豚,主菜,"lunch,dinner",2,中華,49:80:揚げる|29:40:炒める|22:30:炒める|14:30:炒める|139:12.0:生|143:15.0:生|141:15.0:生|138:15.0:生|136:9.0:生|134:18.0:生|149:6.0:生|137:1:生|146:0.1:生,豚肉と野菜を甘酢あんで絡める
ぶりの照り焼き,主菜,"lunch,dinner",1,和風,58:80:焼く|139:12.0:生|143:15.0:生|134:27.0:生|135:27.0:生|136:3.0:生,ぶりを焼いて醤油・みりん・砂糖のタレで絡める
ぶり大根,主菜,dinner,2,和風,58:80:煮る|27:100:煮る|143:30.0:生|134:27.0:生|135:27.0:生|136:9.0:生,ぶりと大根を甘辛く煮込む
あじフライ,主菜,"lunch,dinner",1,和風,54:80:揚げる|19:30:生|137:1:生|146:0.1:生|139:36.0:生|142:15.0:生,あじに衣をつけて揚げ、キャベツを添える
あじの南蛮漬け,主菜,"lunch,dinner",3,和風,54:80:揚げる|29:30:生|14:20:生|143:15.0:生|137:1:生|139:36.0:生|138:30.0:生|134:18.0:生|135:18.0:生|136:9.0:生,あじを揚げて南蛮酢に漬ける
いかの塩焼き,主菜,"lunch,dinner",1,和風,55:100:焼く|143:15.0:生|137:1:生,いかに塩をふってグリルで焼く
いか大根,主菜,dinner,2,和風,55:80:煮る|27:100:煮る|143:30.0:生|134:18.0:生|135:18.0:生|136:6.0:生,いかと大根を醤油ベースで煮込む
えびフライ,主菜,"lunch,dinner",1,洋風,56:80:揚げる|19:30:生|137:1:生|146:0.1:生|139:36.0:生|142:15.0:生|140:12.0:生,えびに衣をつけて揚げ、キャベツを添える
えびチリ,主菜,"lunch,dinner",1,中華,56:100:炒める|30:10:炒める|139:12.0:生|150:6.0:生|141:30.0:生|143:15.0:生|136:3.0:生|134:6.0:生|137:1:生|146:0.1:生|144:4.0:生,えびをチリソースで炒める
スクランブルエッグ,主菜,breakfast,0,洋風,61:100:炒める|64:20:炒める|123:12.0:生|137:1:生|146:0.1:生,卵を牛乳と混ぜて半熟に炒める
オムレツ,主菜,breakfast,0,洋風,61:100:焼く|64:20:焼く|62:15:焼く|123:12.0:生|137:1:生|146:0.1:生|141:15.0:生,卵をバターで焼いてチーズを入れて包む
肉豆腐,主菜,dinner,2,和風,47:60:煮る|39:150:煮る|30:20:煮る|139:12.0:生|134:27.0:生|135:27.0:生|143:30.0:生|136:9.0:生,牛肉と豆腐をすき焼き風に煮る
肉じゃが,主菜,dinner,2,和風,47:60:煮る|41:100:煮る|29:40:煮る|14:30:煮る|139:12.0:生|143:15.0:生|136:6.0:生|135:18.0:生|134:27.0:生,牛肉とじゃがいも、玉ねぎ、にんじんを甘辛く煮る
筑前煮,主菜,dinner,3,和風,52:60:煮る|42:50:煮る|14:30:煮る|12:30:煮る|32:20:煮る|139:12.0:生|143:15.0:生|136:6.0:生|135:18.0:生|134:27.0:生,鶏肉と根菜を甘辛く煮込む
ロールキャベツ,主菜,dinner,2,洋風,48:80:煮る|19:80:煮る|29:20:煮る|137:1:生|146:0.1:生|141:30.0:生|151:3.0:生|136:3.0:生|123:4.0:生,ひき肉をキャベツで包んでトマトソースで煮込む
ベーコンエッグ,主菜,breakfast,0,洋風,45:40:焼く|61:60:焼く|139:4.0:生|137:1:生|146:0.1:生,ベーコンを焼いて、その横で目玉焼きを作る
ウインナー炒め,主菜,breakfast,0,洋風,44:60:焼く|139:4.0:生|146:0.1:生,ウインナーをフライパンで焼く
小松菜のおひたし,副菜,"breakfast,lunch,dinner",2,和風,28:80:茹でる|137:1:生|147:15.0:生,小松菜を茹でて水気を切り、出汁醤油をかける
小松菜と油揚げの煮びたし,副菜,"lunch,dinner",2,和風,28:60:煮る|37:20:煮る|143:15.0:生|134:12.0:生|135:12.0:生|136:1.5:生,小松菜と油揚げを出汁で煮る
ほうれん草のごま和え,副菜,"lunch,dinner",2,和風,15:80:茹でる|134:6.0:生|136:3.0:生,ほうれん草を茹でてすりごまと和える
ほうれん草のバター炒め,副菜,"lunch,dinner",1,洋風,15:80:炒める|45:15:炒める|123:12.0:生|151:1.5:生|137:1:生|146:0.1:生,ほうれん草をベーコンとバターで炒める
なすの煮浸し,副菜,"lunch,dinner",2,和風,13:100:煮る|139:12.0:生|134:18.0:生|135:18.0:生|143:15.0:生|136:3.0:生,なすを出汁と醤油で煮る
なすの味噌炒め,副菜,"lunch,dinner",1,和風,13:100:炒める|74:10:炒める|139:12.0:生|136:9.0:生|143:15.0:生|135:18.0:生,なすを味噌で炒める
きゅうりの酢の物,副菜,"lunch,dinner",1,和風,9:80:生|35:5:生|138:22.5:生|136:9.0:生|134:6.0:生|137:1:生,きゅうりとわかめを酢で和える
きゅうりの浅漬け,副菜,"lunch,dinner",2,和風,9:80:生|137:6.0:生|136:1.5:生|147:2.5:生,きゅうりを塩で揉んで漬ける
大根サラダ,副菜,"lunch,dinner",0,和風,27:80:生|9:30:生|148:15.0:生|144:4.0:生|136:1.5:生|146:0.1:生,大根ときゅうりを千切りにしてドレッシングをかける
大根の煮物,副菜,dinner,3,和風,27:120:煮る|143:15.0:生|135:18.0:生|136:3.0:生|147:22.5:生,大根を出汁で柔らかく煮る
切り干し大根の煮物,副菜,"lunch,dinner",3,和風,26:20:煮る|14:15:煮る|37:10:煮る|139:4.0:生|143:15.0:生|136:3.0:生|135:18.0:生|134:18.0:生,切り干し大根を人参と油揚げと煮る
じゃがいもの煮物,副菜,dinner,2,和風,41:120:煮る|14:20:煮る|143:15.0:生|136:3.0:生|135:18.0:生|134:18.0:生,じゃがいもと人参を甘辛く煮る
ポテトサラダ,副菜,"lunch,dinner",2,洋風,41:100:蒸す|9:20:生|14:15:生|137:1:生|146:0.1:生|138:5.0:生|140:24.0:生,じゃがいもを茹でて潰し、きゅうり、人参とマヨネーズで和える
粉ふきいも,副菜,"lunch,dinner",1,洋風,41:100:茹でる|137:1:生|123:4.0:生|146:0.1:生,じゃがいもを茹でて粉を吹かせ、塩で味付け
さつまいもの甘煮,副菜,"breakfast,snack",3,和風,40:100:蒸す|136:9.0:生|135:18.0:生|143:15.0:生|137:1:生,さつまいもを蒸して甘く煮る
里芋の煮物,副菜,dinner,2,和風,42:100:煮る|134:18.0:生|135:18.0:生|143:15.0:生|136:3.0:生,里芋を出汁と醤油で煮る
里芋の煮っころがし,副菜,dinner,2,和風,42:100:煮る|139:4.0:生|143:15.0:生|136:6.0:生|135:18.0:生|134:18.0:生,里芋を甘辛く煮て転がしながら煮詰める
たけのこの土佐煮,副菜,"lunch,dinner",3,和風,12:80:煮る|143:15.0:生|135:18.0:生|134:18.0:生|136:3.0:生,たけのこを出汁と醤油で煮てかつお節をまぶす
オクラのおひたし,副菜,"lunch,dinner",1,和風,18:60:茹でる|137:1:生|147:15.0:生,オクラを茹でて出汁醤油をかける
オクラ納豆,副菜,breakfast,0,和風,18:40:茹でる|38:45:生|147:5.0:生,オクラを刻んで納豆と混ぜる
アスパラのベーコン巻き,副菜,"lunch,dinner",1,洋風,17:60:焼く|45:30:焼く|145:12.0:生|123:4.0:生|146:0.1:生,アスパラガスをベーコンで巻いて焼く
ピーマンの肉詰め,副菜,"lunch,dinner",2,和風,22:60:焼く|48:50:焼く|139:12.0:生|143:15.0:生|137:1:生|146:0.1:生|134:18.0:生|135:18.0:生|136:3.0:生,ピーマンにひき肉を詰めて焼く
野菜炒め,副菜,"lunch,dinner",1,中華,19:60:炒める|16:40:炒める|22:30:炒める|14:20:炒める|139:12.0:生|143:5.0:生|134:6.0:生|149:6.0:生|137:1:生|146:0.1:生|144:2.0:生,キャベツ、もやし、ピーマン、人参を炒める
八宝菜,副菜,"lunch,dinner",1,中華,19:50:炒める|12:30:炒める|22:20:炒める|56:30:炒める|139:12.0:生|143:15.0:生|149:12.0:生|134:6.0:生|136:3.0:生|137:1:生|146:0.1:生|144:4.0:生,野菜と海鮮を炒めてあんかけにする
豚汁,汁物,"lunch,dinner",2,和風,49:30:煮る|39:30:煮る|27:40:煮る|14:20:煮る|74:12:生|139:4.0:生|143:15.0:生|147:10.0:生|135:6.0:生,豚肉と根菜を味噌で煮込む
豆腐とねぎの味噌汁,汁物,"breakfast,lunch,dinner",1,和風,39:40:煮る|30:15:煮る|74:12:生,出汁に味噌を溶き、豆腐とねぎを入れる
しじみの味噌汁,汁物,"breakfast,dinner",1,和風,57:30:煮る|74:12:生|143:15.0:生|134:3.0:生,しじみを出汁で煮て味噌を溶く
あさりの味噌汁,汁物,"breakfast,dinner",1,和風,53:40:煮る|74:12:生|143:15.0:生|134:3.0:生,あさりを出汁で煮て味噌を溶く
卵スープ,汁物,"breakfast,lunch,dinner",1,中華,61:50:煮る|31:10:煮る|143:15.0:生|134:6.0:生|149:6.0:生|137:1:生|146:0.1:生|144:4.0:生,中華風スープに溶き卵を流し入れる
わかめスープ,汁物,"breakfast,lunch,dinner",1,中華,35:10:煮る|31:5:生|134:6.0:生|149:6.0:生|137:1:生|146:0.1:生|144:4.0:生,中華風スープにわかめとねぎを入れる
野菜スープ,汁物,"breakfast,lunch,dinner",2,洋風,19:30:煮る|14:20:煮る|29:20:煮る|151:3.0:生|123:4.0:生|137:1:生|146:0.1:生,キャベツ、人参、玉ねぎをコンソメで煮る
ミネストローネ,汁物,"lunch,dinner",2,洋風,21:50:煮る|19:30:煮る|29:30:煮る|14:20:煮る|145:12.0:生|151:3.0:生|141:15.0:生|136:3.0:生|137:1:生|146:0.1:生,野菜をトマトベースで煮込む
クリームシチュー,汁物,dinner,3,洋風,52:60:煮る|41:60:煮る|29:40:煮る|14:30:煮る|64:100:煮る|123:12.0:生|143:15.0:生|151:3.0:生|137:1:生|146:0.1:生,鶏肉と野菜を牛乳ベースのソースで煮込む
ビーフシチュー,汁物,dinner,3,洋風,47:80:煮る|41:60:煮る|29:40:煮る|14:30:煮る|139:12.0:生|143:15.0:生|141:15.0:生|142:15.0:生|151:3.0:生|136:3.0:生|123:4.0:生|137:1:生|146:0.1:生,牛肉と野菜をデミグラスソースで煮込む
キウイ,デザート,"breakfast,snack",0,洋風,71:80:生,皮をむいて切って食べる
いちご,デザート,"breakfast,snack",0,洋風,65:80:生,洗ってそのまま食べる
ぶどう,デザート,"breakfast,snack",0,洋風,66:80:生,粒を取ってそのまま食べる
グレープフルーツ,デザート,"breakfast,snack",0,洋風,70:100:生,皮をむいて房ごと食べる
もも,デザート,"breakfast,snack",0,和風,68:100:生,皮をむいて切って食べる
フルーツヨーグルト,デザート,"breakfast,snack",0,洋風,63:100:生|72:50:生|136:6.0:生,ヨーグルトにバナナを加える
きのこご飯,主食,"lunch,dinner",1,和風,6:150:蒸す|76:30:炒める|75:20:炒める|77:20:炒める|139:12.0:生|134:18.0:生|135:18.0:生|143:15.0:生|137:1:生,きのこを炒めて炊き込みご飯にする
玄米ご飯,主食,"breakfast,lunch,dinner",0,和風,110:150:蒸す,玄米を研いで炊飯器で炊く
オートミール粥,主食,breakfast,0,洋風,111:40:煮る|64:150:煮る|151:3.0:生|137:1:生|123:4.0:生,オートミールを牛乳で煮てお粥にする
ニラ玉,主菜,"lunch,dinner",0,中華,80:60:炒める|61:100:炒める|139:12.0:生|143:5.0:生|134:6.0:生|149:6.0:生|137:1:生|146:0.1:生|144:4.0:生,ニラと卵を一緒に炒める
白菜と豚肉のミルフィーユ煮,主菜,dinner,2,和風,79:150:煮る|49:80:煮る|143:15.0:生|147:30.0:生|137:1:生,白菜と豚バラ肉を交互に重ねて出汁で煮る
餃子,主菜,"lunch,dinner",2,中華,112:80:焼く|79:60:炒める|80:20:炒める|88:5:生|139:12.0:生|143:15.0:生|134:6.0:生|149:6.0:生|144:4.0:生|137:1:生|146:0.1:生|138:5.0:生,ひき肉と野菜を皮で包んで焼く
たらの煮付け,主菜,"lunch,dinner",1,和風,82:100:煮る|27:50:煮る|143:30.0:生|134:18.0:生|135:18.0:生|136:3.0:生,たらを甘辛く煮付ける
まぐろの刺身,主菜,dinner,0,和風,83:100:生|97:3:生|134:18.0:生,まぐろを刺身に切って大葉を添える
さんまの塩焼き,主菜,"lunch,dinner",1,和風,84:100:焼く|27:30:生|137:1:生|134:18.0:生,さんまに塩をふってグリルで焼き、大根おろしを添える
いわしの蒲焼き,主菜,"lunch,dinner",2,和風,85:80:焼く|143:15.0:生|139:12.0:生|134:18.0:生|135:18.0:生|136:3.0:生,いわしを開いて甘辛いタレで焼く
ホタテのバター焼き,主菜,dinner,0,洋風,116:100:焼く|123:10:焼く,ホタテをバターで焼く
牡蠣フライ,主菜,dinner,0,洋風,117:100:揚げる|19:30:生|137:1:生|146:0.1:生|139:60.0:生|142:15.0:生,牡蠣に衣をつけて揚げ、キャベツを添える
かれいの煮付け,主菜,"lunch,dinner",1,和風,119:100:煮る|143:60.0:生|134:27.0:生|135:27.0:生|136:9.0:生,かれいを甘辛く煮付ける
真鯛の塩焼き,主菜,dinner,1,和風,118:100:焼く|143:15.0:生|137:1:生,真鯛に塩をふってグリルで焼く
めかじきのソテー,主菜,"lunch,dinner",1,洋風,121:100:焼く|123:10:焼く,めかじきをバターでソテーする
ゴーヤチャンプルー,主菜,"lunch,dinner",1,和風,102:80:炒める|39:100:炒める|49:50:炒める|61:50:炒める|139:12.0:生|143:15.0:生|147:15.0:生|137:1:生|146:0.1:生|144:4.0:生,ゴーヤと豆腐、豚肉、卵を炒める
手羽先の唐揚げ,主菜,"lunch,dinner",2,和風,113:150:揚げる|143:15.0:生|134:18.0:生|135:6.0:生|137:1:生|146:0.1:生,手羽先に下味をつけて揚げる
タコときゅうりの酢の物,副菜,"lunch,dinner",1,和風,86:50:茹でる|9:60:生|35:5:生|138:22.5:生|136:9.0:生|134:6.0:生|137:1:生,タコときゅうり、わかめを酢で和える
きのこのバター炒め,副菜,"lunch,dinner",1,洋風,76:40:炒める|75:30:炒める|78:30:炒める|123:10:炒める,きのこ類をバターで炒める
れんこんのきんぴら,副菜,"lunch,dinner",3,和風,81:80:炒める|14:20:炒める|144:12.0:生|134:18.0:生|135:18.0:生|136:3.0:生|143:15.0:生,れんこんと人参を甘辛く炒める
かぶの浅漬け,副菜,"lunch,dinner",2,和風,103:100:生|137:6.0:生|136:1.5:生|138:5.0:生,かぶを塩で揉んで漬ける
枝豆の塩茹で,副菜,"lunch,dinner,snack",1,和風,105:100:茹でる|137:18.0:生,枝豆を塩茹でする
春菊のおひたし,副菜,"lunch,dinner",1,和風,93:80:茹でる|147:15.0:生,春菊を茹でて出汁醤油をかける
水菜サラダ,副菜,"lunch,dinner",0,和風,94:60:生|122:20:生|148:15.0:生|144:4.0:生|136:1.5:生|146:0.1:生,水菜とツナを和えてドレッシングをかける
アボカドサラダ,副菜,"lunch,dinner",0,洋風,127:80:生|21:50:生|145:12.0:生|138:5.0:生|137:1:生|146:0.1:生,アボカドとトマトをドレッシングで和える
チンゲン菜の炒め物,副菜,"lunch,dinner",1,中華,95:100:炒める|88:5:炒める|144:12.0:生|143:15.0:生|149:6.0:生|137:1:生|146:0.1:生,チンゲン菜をにんにくと炒める
厚揚げの煮物,副菜,"lunch,dinner",2,和風,106:100:煮る|27:30:煮る|143:15.0:生|135:18.0:生|134:18.0:生|136:3.0:生,厚揚げを出汁と醤油で煮る
高野豆腐の煮物,副菜,"lunch,dinner",3,和風,108:30:煮る|14:15:煮る|143:15.0:生|135:6.0:生|136:3.0:生|134:6.0:生,高野豆腐を出汁で煮る
ツナサラダ,副菜,"lunch,dinner",0,洋風,122:40:生|25:40:生|9:30:生|140:12.0:生|137:1:生|146:0.1:生,ツナとレタス、きゅうりを和える
きのこの味噌汁,汁物,"breakfast,lunch,dinner",1,和風,76:30:煮る|75:20:煮る|74:12:生,出汁にきのこを入れて味噌を溶く
白菜の味噌汁,汁物,"breakfast,lunch,dinner",1,和風,79:50:煮る|37:10:煮る|74:12:生,出汁に白菜と油揚げを入れて味噌を溶く
パイナップル,デザート,"breakfast,snack",0,洋風,128:100:生,皮をむいて切って食べる
マンゴー,デザート,"breakfast,snack",0,洋風,129:100:生,皮をむいて切って食べる
梨,デザート,"breakfast,snack",0,和風,130:100:生,皮をむいて切って食べる
